"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"KLRD1"	0	1.31361791308989	0.231	0.003	0	"CD8+ Cytotoxic"	"KLRD1"
"CD247"	0	1.28138327845163	0.506	0.095	0	"CD8+ Cytotoxic"	"CD247"
"LAT"	0	1.27750219115396	0.628	0.125	0	"CD8+ Cytotoxic"	"LAT"
"EOMES"	0	1.26819770997419	0.335	0.002	0	"CD8+ Cytotoxic"	"EOMES"
"CD96"	0	1.26207047316454	0.466	0.107	0	"CD8+ Cytotoxic"	"CD96"
"PRKCH"	0	1.2607589878776	0.471	0.086	0	"CD8+ Cytotoxic"	"PRKCH"
"SAMD3"	0	1.21359722490287	0.336	0.009	0	"CD8+ Cytotoxic"	"SAMD3"
"TC2N"	0	1.18490278849778	0.418	0.078	0	"CD8+ Cytotoxic"	"TC2N"
"HLA-A"	0	1.18435563496885	0.995	0.883	0	"CD8+ Cytotoxic"	"HLA-A"
"CD6"	0	1.17599081124961	0.447	0.092	0	"CD8+ Cytotoxic"	"CD6"
"ZAP70"	0	1.14393386690283	0.493	0.104	0	"CD8+ Cytotoxic"	"ZAP70"
"GIMAP1"	0	1.14176177274112	0.367	0.039	0	"CD8+ Cytotoxic"	"GIMAP1"
"PYHIN1"	0	1.12632834557469	0.358	0.058	0	"CD8+ Cytotoxic"	"PYHIN1"
"TRAT1"	0	1.12242810074953	0.354	0.039	0	"CD8+ Cytotoxic"	"TRAT1"
"LAG3"	0	1.11230821846599	0.297	0.02	0	"CD8+ Cytotoxic"	"LAG3"
"SLFN5"	0	1.10532152518847	0.376	0.069	0	"CD8+ Cytotoxic"	"SLFN5"
"CRTAM"	0	1.10101501202748	0.27	0.006	0	"CD8+ Cytotoxic"	"CRTAM"
"CCL3L1"	0	1.08728502848227	0.226	0.006	0	"CD8+ Cytotoxic"	"CCL3L1"
"AOAH"	0	1.08604318904409	0.296	0.012	0	"CD8+ Cytotoxic"	"AOAH"
"SELPLG"	0	1.05691890899665	0.328	0.045	0	"CD8+ Cytotoxic"	"SELPLG"
"ITM2A"	0	1.05564052668073	0.51	0.123	0	"CD8+ Cytotoxic"	"ITM2A"
"B2M"	0	1.03463457094942	0.999	0.995	0	"CD8+ Cytotoxic"	"B2M"
"STOM"	0	1.03374326009941	0.325	0.045	0	"CD8+ Cytotoxic"	"STOM"
"TRDC"	0	1.0232886474752	0.114	0.004	0	"CD8+ Cytotoxic"	"TRDC"
"AAK1"	0	1.0186546092904	0.347	0.059	0	"CD8+ Cytotoxic"	"AAK1"
"TRDV1"	0	0.985473933000458	0.09	0.002	0	"CD8+ Cytotoxic"	"TRDV1"
"MATK"	0	0.980704011570452	0.281	0.023	0	"CD8+ Cytotoxic"	"MATK"
"CXCR6"	0	0.951511394589351	0.18	0.005	0	"CD8+ Cytotoxic"	"CXCR6"
"LINC01871"	0	0.911920210546572	0.209	0.012	0	"CD8+ Cytotoxic"	"LINC01871"
"DKK3"	0	0.911845159392614	0.212	0.001	0	"CD8+ Cytotoxic"	"DKK3"
"TRGV9"	0	0.85787335699532	0.111	0.002	0	"CD8+ Cytotoxic"	"TRGV9"
"TRGC2"	0	0.822641509240006	0.184	0.003	0	"CD8+ Cytotoxic"	"TRGC2"
"SLA2"	0	0.800517194599569	0.231	0.02	0	"CD8+ Cytotoxic"	"SLA2"
"LINC02446"	0	0.800150234786411	0.12	0.007	0	"CD8+ Cytotoxic"	"LINC02446"
"TRGV2"	0	0.797377094963853	0.137	0.002	0	"CD8+ Cytotoxic"	"TRGV2"
"F2R"	0	0.796678637605823	0.208	0.007	0	"CD8+ Cytotoxic"	"F2R"
"ITGA1"	0	0.787758974145854	0.172	0.002	0	"CD8+ Cytotoxic"	"ITGA1"
"GZMB"	0	0.786560030570203	0.102	0.005	0	"CD8+ Cytotoxic"	"GZMB"
"KLRC3"	0	0.726912998414769	0.119	0.001	0	"CD8+ Cytotoxic"	"KLRC3"
"OASL"	0	0.684765478428956	0.181	0.008	0	"CD8+ Cytotoxic"	"OASL"
"PLA2G16"	0	0.675041018893424	0.182	0.009	0	"CD8+ Cytotoxic"	"PLA2G16"
"FCRL6"	0	0.659112374548731	0.15	0.001	0	"CD8+ Cytotoxic"	"FCRL6"
"TRGV10"	0	0.622445515628507	0.11	0.004	0	"CD8+ Cytotoxic"	"TRGV10"
"TRDV2"	0	0.62222790448674	0.048	0	0	"CD8+ Cytotoxic"	"TRDV2"
"XCL2"	0	0.590195827088454	0.089	0.002	0	"CD8+ Cytotoxic"	"XCL2"
"PPP2R2B"	0	0.581977652268166	0.138	0.004	0	"CD8+ Cytotoxic"	"PPP2R2B"
"CPNE7"	0	0.579165520144628	0.151	0.008	0	"CD8+ Cytotoxic"	"CPNE7"
"CCR5"	0	0.532437507829141	0.117	0.006	0	"CD8+ Cytotoxic"	"CCR5"
"PTGDR"	0	0.52688157671837	0.135	0.002	0	"CD8+ Cytotoxic"	"PTGDR"
"GPR171"	0	0.505375838354191	0.126	0.006	0	"CD8+ Cytotoxic"	"GPR171"
"ZNF683"	0	0.504394051922587	0.074	0.001	0	"CD8+ Cytotoxic"	"ZNF683"
"CD160"	0	0.486336710174323	0.093	0.001	0	"CD8+ Cytotoxic"	"CD160"
"CD244"	0	0.470040648863889	0.121	0.003	0	"CD8+ Cytotoxic"	"CD244"
"LINC02084"	0	0.467643552915828	0.119	0.001	0	"CD8+ Cytotoxic"	"LINC02084"
"AC243829.4"	0	0.464997217570048	0.094	0.001	0	"CD8+ Cytotoxic"	"AC243829.4"
"TRGV4"	0	0.460127934410902	0.085	0.002	0	"CD8+ Cytotoxic"	"TRGV4"
"TNFRSF9"	0	0.45524437964488	0.094	0.003	0	"CD8+ Cytotoxic"	"TNFRSF9"
"EPHA1"	0	0.422209275356486	0.1	0.004	0	"CD8+ Cytotoxic"	"EPHA1"
"TRGV8"	0	0.407021687754001	0.069	0.001	0	"CD8+ Cytotoxic"	"TRGV8"
"TRGC1"	0	0.406889070111328	0.089	0.002	0	"CD8+ Cytotoxic"	"TRGC1"
"JAKMIP1"	0	0.388304161991723	0.109	0.004	0	"CD8+ Cytotoxic"	"JAKMIP1"
"PRR5L"	0	0.361074501343534	0.087	0.002	0	"CD8+ Cytotoxic"	"PRR5L"
"FASLG"	0	0.340457437586523	0.075	0.001	0	"CD8+ Cytotoxic"	"FASLG"
"AC243829.1"	0	0.264869010011381	0.064	0	0	"CD8+ Cytotoxic"	"AC243829.1"
"IGFBP2"	0	0.257014014502706	0.054	0.001	0	"CD8+ Cytotoxic"	"IGFBP2"
"KIR3DL2"	0	0.256832712451399	0.054	0.001	0	"CD8+ Cytotoxic"	"KIR3DL2"
"GIMAP6"	3.42633741198029e-305	0.715969934167517	0.217	0.026	7.51190214202558e-301	"CD8+ Cytotoxic"	"GIMAP6"
"DTHD1"	4.68104100814169e-304	0.55863431061795	0.137	0.01	1.02627143062498e-299	"CD8+ Cytotoxic"	"DTHD1"
"JAML"	1.97747986516207e-303	0.709258572540608	0.205	0.023	4.33542685638133e-299	"CD8+ Cytotoxic"	"JAML"
"NELL2"	4.07811650654882e-296	0.667617150441245	0.151	0.013	8.94086262895764e-292	"CD8+ Cytotoxic"	"NELL2"
"TIGIT"	1.15025316182713e-288	0.919492765002004	0.352	0.066	2.52181503198979e-284	"CD8+ Cytotoxic"	"TIGIT"
"IL7R"	1.09252675777251e-284	1.36347336566404	0.355	0.069	2.39525566374044e-280	"CD8+ Cytotoxic"	"IL7R"
"AF165147.1"	8.05529130250043e-282	0.227453411563302	0.055	0.001	1.76604206516019e-277	"CD8+ Cytotoxic"	"AF165147.1"
"TNFRSF1A"	5.95150273623373e-280	0.513960664457373	0.141	0.012	1.30480745989188e-275	"CD8+ Cytotoxic"	"TNFRSF1A"
"CLDND1"	1.04025180253118e-276	1.51648310284519	0.489	0.146	2.28064805186936e-272	"CD8+ Cytotoxic"	"CLDND1"
"CLEC2B"	6.33164859844891e-273	1.23041515291195	0.541	0.163	1.38815063872394e-268	"CD8+ Cytotoxic"	"CLEC2B"
"KIR2DL3"	4.85997335540973e-269	0.161839491532265	0.029	0	1.06550055844003e-264	"CD8+ Cytotoxic"	"KIR2DL3"
"HLA-C"	8.01012426553438e-268	1.20773140578677	0.982	0.907	1.75613964397576e-263	"CD8+ Cytotoxic"	"HLA-C"
"IFITM1"	2.92406294727285e-267	1.40556621167302	0.907	0.573	6.41071560560101e-263	"CD8+ Cytotoxic"	"IFITM1"
"A2M-AS1"	1.03708092662101e-264	0.230802967338852	0.047	0.001	2.2736962235239e-260	"CD8+ Cytotoxic"	"A2M-AS1"
"ARL4C"	5.08044078832803e-262	1.20621905764608	0.43	0.11	1.11383583843304e-257	"CD8+ Cytotoxic"	"ARL4C"
"TGFBR3"	2.45987607393452e-259	0.301062418991602	0.076	0.003	5.39303230449405e-255	"CD8+ Cytotoxic"	"TGFBR3"
"NUCB2"	5.92121654233591e-247	1.13331855339583	0.443	0.123	1.29816751474173e-242	"CD8+ Cytotoxic"	"NUCB2"
"LEPROTL1"	2.14359611312407e-246	1.25895213463355	0.577	0.206	4.69962011841321e-242	"CD8+ Cytotoxic"	"LEPROTL1"
"SIRPG"	2.63835720040849e-246	0.884926056053887	0.303	0.057	5.78433432617557e-242	"CD8+ Cytotoxic"	"SIRPG"
"ITK"	2.68517541187231e-243	0.783488494508112	0.308	0.059	5.88697857298885e-239	"CD8+ Cytotoxic"	"ITK"
"DUSP2"	2.8380969054168e-241	1.86122844907222	0.707	0.345	6.22224365543578e-237	"CD8+ Cytotoxic"	"DUSP2"
"APMAP"	8.72458451640267e-241	1.00983705170445	0.369	0.091	1.91277790937612e-236	"CD8+ Cytotoxic"	"APMAP"
"S1PR5"	6.31629254654305e-233	0.116942009564583	0.028	0	1.3847839779041e-228	"CD8+ Cytotoxic"	"S1PR5"
"CD8B2"	1.11886861182044e-232	0.361329442536436	0.107	0.008	2.45300754455512e-228	"CD8+ Cytotoxic"	"CD8B2"
"KLRC2"	3.30404801104197e-230	0.250387829288151	0.036	0.001	7.24379485940841e-226	"CD8+ Cytotoxic"	"KLRC2"
"ITM2B"	3.78603460765859e-230	1.17007474709525	0.844	0.558	8.30050227383069e-226	"CD8+ Cytotoxic"	"ITM2B"
"S100A6"	1.69703765589668e-229	1.30426046811768	0.676	0.308	3.72058535678788e-225	"CD8+ Cytotoxic"	"S100A6"
"SLAMF7"	1.31591409775903e-227	0.797048521116981	0.226	0.037	2.8850100679269e-223	"CD8+ Cytotoxic"	"SLAMF7"
"HLA-B"	6.28698462359079e-227	0.779006846974882	0.998	0.982	1.37835850887604e-222	"CD8+ Cytotoxic"	"HLA-B"
"HNRNPLL"	1.89704778057865e-226	0.827043190853764	0.266	0.05	4.15908755414063e-222	"CD8+ Cytotoxic"	"HNRNPLL"
"LCK"	3.41680301494408e-225	1.14661115188299	0.721	0.349	7.4909989299634e-221	"CD8+ Cytotoxic"	"LCK"
"AC103702.2"	1.03129559761395e-224	0.166250112520059	0.039	0.001	2.26101246820883e-220	"CD8+ Cytotoxic"	"AC103702.2"
"INPP4B"	3.87762091120568e-224	0.693988235773309	0.227	0.037	8.50129608572733e-220	"CD8+ Cytotoxic"	"INPP4B"
"SPN"	1.81517694535051e-221	0.865583620112695	0.299	0.063	3.97959393498645e-217	"CD8+ Cytotoxic"	"SPN"
"TRGV7"	2.42657578611504e-220	0.245307941802642	0.046	0.001	5.32002475347862e-216	"CD8+ Cytotoxic"	"TRGV7"
"GIMAP5"	1.00143796499442e-219	0.680408953907681	0.189	0.026	2.19555259445376e-215	"CD8+ Cytotoxic"	"GIMAP5"
"EVL"	1.52544804810752e-219	1.12729729555037	0.863	0.643	3.34439230067093e-215	"CD8+ Cytotoxic"	"EVL"
"SLC9A3R1"	7.14627867628304e-218	1.20084139857288	0.579	0.237	1.56675013698829e-213	"CD8+ Cytotoxic"	"SLC9A3R1"
"CDHR1"	5.11683702084288e-215	0.14978288510285	0.031	0	1.12181534844959e-210	"CD8+ Cytotoxic"	"CDHR1"
"CD5"	2.12308979916662e-214	0.854703280608111	0.309	0.066	4.65466207569289e-210	"CD8+ Cytotoxic"	"CD5"
"LYAR"	1.18868692716836e-211	1.17370291883566	0.371	0.103	2.60607721912392e-207	"CD8+ Cytotoxic"	"LYAR"
"STAT4"	2.45040450445106e-210	0.709418797571019	0.203	0.032	5.37226683555849e-206	"CD8+ Cytotoxic"	"STAT4"
"PLXDC1"	1.86798363383331e-209	0.341275370875909	0.084	0.005	4.09536731881616e-205	"CD8+ Cytotoxic"	"PLXDC1"
"PECAM1"	6.79002823111302e-208	0.706056194307654	0.22	0.037	1.48864578938922e-203	"CD8+ Cytotoxic"	"PECAM1"
"SLFN12L"	2.08216687607897e-207	0.524039851937453	0.147	0.017	4.56494265911554e-203	"CD8+ Cytotoxic"	"SLFN12L"
"DENND2D"	1.05479872858007e-202	1.22294993930191	0.568	0.233	2.31254073253895e-198	"CD8+ Cytotoxic"	"DENND2D"
"BCL11B"	1.57184894782311e-201	0.717276920972738	0.252	0.048	3.44612163320738e-197	"CD8+ Cytotoxic"	"BCL11B"
"CYTOR"	1.12537262570845e-200	1.23604398723258	0.462	0.158	2.46726694460321e-196	"CD8+ Cytotoxic"	"CYTOR"
"THEMIS"	4.49733362282765e-199	0.644426632893315	0.184	0.027	9.85995423468734e-195	"CD8+ Cytotoxic"	"THEMIS"
"GATA3"	4.53376639339071e-198	0.740545869703817	0.226	0.041	9.93982944086979e-194	"CD8+ Cytotoxic"	"GATA3"
"RNF125"	5.88844948506919e-198	0.751841137062971	0.242	0.046	1.29098366510657e-193	"CD8+ Cytotoxic"	"RNF125"
"SPRY2"	1.01877462387059e-197	0.242014217611906	0.054	0.002	2.23356148537388e-193	"CD8+ Cytotoxic"	"SPRY2"
"TMEM171"	1.35351719582269e-197	0.131150179579402	0.027	0	2.96745110012167e-193	"CD8+ Cytotoxic"	"TMEM171"
"PERP"	5.03718557806136e-195	0.283570509894521	0.072	0.004	1.10435256613417e-190	"CD8+ Cytotoxic"	"PERP"
"LYST"	4.76127231380833e-194	1.14299669834746	0.438	0.145	1.04386134207934e-189	"CD8+ Cytotoxic"	"LYST"
"ERN1"	1.48679299625935e-193	0.701108975129669	0.203	0.034	3.25964496499899e-189	"CD8+ Cytotoxic"	"ERN1"
"TCF7"	4.06435844468693e-184	0.896497784703577	0.406	0.116	8.91069945413162e-180	"CD8+ Cytotoxic"	"TCF7"
"MLLT3"	1.13143458967054e-181	0.625430048080381	0.186	0.03	2.48055719439368e-177	"CD8+ Cytotoxic"	"MLLT3"
"ATP2B4"	2.52418401746193e-181	0.721189243053867	0.229	0.045	5.53402103988353e-177	"CD8+ Cytotoxic"	"ATP2B4"
"TRG-AS1"	5.3655670827438e-181	0.617566817660748	0.169	0.026	1.17634692722075e-176	"CD8+ Cytotoxic"	"TRG-AS1"
"FGFBP2"	8.32553537135081e-178	0.238118461475371	0.041	0.001	1.82529037481495e-173	"CD8+ Cytotoxic"	"FGFBP2"
"UBASH3A"	1.95864472662498e-177	0.469176811915159	0.148	0.02	4.29413269865261e-173	"CD8+ Cytotoxic"	"UBASH3A"
"ATP9A"	3.34770289884602e-174	0.220669257941842	0.045	0.002	7.33950383543001e-170	"CD8+ Cytotoxic"	"ATP9A"
"RNF213"	4.03855874465278e-169	1.189132240316	0.626	0.321	8.85413619177677e-165	"CD8+ Cytotoxic"	"RNF213"
"RGL4"	1.73908051790536e-168	0.687040633090582	0.243	0.053	3.81276012745572e-164	"CD8+ Cytotoxic"	"RGL4"
"ZFYVE28"	6.0833542185497e-167	0.442408750314737	0.13	0.017	1.33371457887484e-162	"CD8+ Cytotoxic"	"ZFYVE28"
"MVB12B"	1.65320975078684e-166	0.289172332103914	0.073	0.005	3.62449705762507e-162	"CD8+ Cytotoxic"	"MVB12B"
"LDB2"	1.16876125475589e-160	0.114473210381805	0.02	0	2.56239217492682e-156	"CD8+ Cytotoxic"	"LDB2"
"LGR6"	5.66800447237737e-160	0.123214184799263	0.03	0.001	1.24265330052401e-155	"CD8+ Cytotoxic"	"LGR6"
"PSTPIP1"	2.28008391144235e-158	0.863253719236863	0.333	0.099	4.99885596744621e-154	"CD8+ Cytotoxic"	"PSTPIP1"
"ITGA5"	2.85344017195875e-156	0.302977890799327	0.084	0.007	6.25588223300237e-152	"CD8+ Cytotoxic"	"ITGA5"
"RPS27"	1.01630744314318e-155	0.458742893162597	1	0.999	2.22815243834711e-151	"CD8+ Cytotoxic"	"RPS27"
"S100A4"	2.48704313258494e-154	1.35513797382217	0.596	0.289	5.45259336387921e-150	"CD8+ Cytotoxic"	"S100A4"
"APOBEC3G"	3.78922461930078e-154	1.19620320756745	0.468	0.199	8.30749605535502e-150	"CD8+ Cytotoxic"	"APOBEC3G"
"ID2"	9.17784954678528e-154	1.01758953297709	0.314	0.089	2.0121517346372e-149	"CD8+ Cytotoxic"	"ID2"
"CMTM3"	6.59630714958607e-152	0.612628967993026	0.218	0.047	1.44617437947525e-147	"CD8+ Cytotoxic"	"CMTM3"
"PPP2R5C"	2.00371826012627e-151	1.13282617128558	0.562	0.278	4.39295191350084e-147	"CD8+ Cytotoxic"	"PPP2R5C"
"GIMAP8"	1.4621561872682e-149	0.373139637338182	0.1	0.011	3.20563122496679e-145	"CD8+ Cytotoxic"	"GIMAP8"
"DOK2"	2.65758594783963e-149	0.790487724295956	0.287	0.078	5.8264914320436e-145	"CD8+ Cytotoxic"	"DOK2"
"AHNAK"	1.04804212310427e-147	1.14469833248057	0.417	0.153	2.2977275506938e-143	"CD8+ Cytotoxic"	"AHNAK"
"CAMK4"	1.47209775564673e-147	0.771659119376495	0.28	0.075	3.22742711947988e-143	"CD8+ Cytotoxic"	"CAMK4"
"C1orf21"	1.38989972427741e-146	0.369281760516407	0.095	0.01	3.0472161555058e-142	"CD8+ Cytotoxic"	"C1orf21"
"LINC00384"	2.08581146065724e-146	0.117770296377065	0.022	0	4.57293304634493e-142	"CD8+ Cytotoxic"	"LINC00384"
"SH2D2A"	1.13895817128403e-142	0.723999104527382	0.22	0.05	2.4970518947231e-138	"CD8+ Cytotoxic"	"SH2D2A"
"TRAC"	3.87546706194617e-141	1.01270874789439	0.577	0.287	8.49657398661078e-137	"CD8+ Cytotoxic"	"TRAC"
"OPTN"	4.54012612968603e-141	0.789321957970134	0.314	0.096	9.95377252672365e-137	"CD8+ Cytotoxic"	"OPTN"
"CD28"	1.60997382650011e-140	0.613488992303137	0.227	0.052	3.52970661721885e-136	"CD8+ Cytotoxic"	"CD28"
"CD99"	5.13053292144152e-139	0.933295653370415	0.798	0.607	1.12481803769684e-134	"CD8+ Cytotoxic"	"CD99"
"PDE3B"	2.69212682114555e-138	0.559408910082049	0.171	0.032	5.9022188426795e-134	"CD8+ Cytotoxic"	"PDE3B"
"AC006369.1"	4.03989701240084e-138	0.221693818292299	0.063	0.005	8.8570702099876e-134	"CD8+ Cytotoxic"	"AC006369.1"
"KIF21A"	6.3588817812772e-136	0.324354413656921	0.081	0.008	1.39412124172721e-131	"CD8+ Cytotoxic"	"KIF21A"
"CTSC"	1.02121274246466e-135	1.01715163831473	0.431	0.177	2.23890681657952e-131	"CD8+ Cytotoxic"	"CTSC"
"TRBC2"	1.77450972283336e-134	1.06000244692013	0.729	0.46	3.89043511633986e-130	"CD8+ Cytotoxic"	"TRBC2"
"SYTL3"	8.43430948827197e-132	0.578949621146359	0.161	0.03	1.84913801220875e-127	"CD8+ Cytotoxic"	"SYTL3"
"ZFP36"	1.08688396220472e-131	1.69784731654283	0.778	0.615	2.38288439873762e-127	"CD8+ Cytotoxic"	"ZFP36"
"SKAP1"	4.9933448072499e-131	0.885144453430255	0.411	0.158	1.09474091554147e-126	"CD8+ Cytotoxic"	"SKAP1"
"ZFP36L2"	1.56956253671932e-130	1.2488838727678	0.833	0.654	3.44110890550345e-126	"CD8+ Cytotoxic"	"ZFP36L2"
"MT2A"	1.59213628839147e-130	1.12302024995402	0.435	0.178	3.49059959866947e-126	"CD8+ Cytotoxic"	"MT2A"
"LIME1"	5.71099882103512e-130	0.813503499263012	0.315	0.102	1.25207938152374e-125	"CD8+ Cytotoxic"	"LIME1"
"NCR1"	3.25776462547267e-129	0.127541375708411	0.034	0.001	7.14232316488629e-125	"CD8+ Cytotoxic"	"NCR1"
"CALM1"	1.95260513885703e-127	0.810265201646045	0.876	0.758	4.28089150643016e-123	"CD8+ Cytotoxic"	"CALM1"
"SCML4"	2.69133861510762e-127	0.717165741689768	0.258	0.072	5.90049077976194e-123	"CD8+ Cytotoxic"	"SCML4"
"GPR174"	7.56371262310123e-127	0.851822488331387	0.313	0.102	1.65826835548871e-122	"CD8+ Cytotoxic"	"GPR174"
"AGAP1"	1.20457347758003e-126	0.0939879885393231	0.021	0	2.64090689224645e-122	"CD8+ Cytotoxic"	"AGAP1"
"RPS29"	3.62339547695458e-126	0.539460095840647	0.997	0.987	7.94393224367523e-122	"CD8+ Cytotoxic"	"RPS29"
"CD27"	2.63345440544457e-124	1.07111468292245	0.699	0.456	5.77358543849668e-120	"CD8+ Cytotoxic"	"CD27"
"LINC00402"	1.58769048666267e-121	0.346649236048967	0.095	0.012	3.48085262295925e-117	"CD8+ Cytotoxic"	"LINC00402"
"PRKCQ"	3.07096605364662e-121	0.437884048382946	0.141	0.025	6.73278597601485e-117	"CD8+ Cytotoxic"	"PRKCQ"
"CSF1"	8.59018901199403e-120	0.340326792620519	0.067	0.006	1.88331303898957e-115	"CD8+ Cytotoxic"	"CSF1"
"SH3BGRL3"	1.32492348321461e-119	0.718239975585223	0.948	0.884	2.90476224459971e-115	"CD8+ Cytotoxic"	"SH3BGRL3"
"RPS15A"	8.35152154587499e-117	0.439115425386343	1	0.997	1.83098758371763e-112	"CD8+ Cytotoxic"	"RPS15A"
"IFNL1"	8.91096284854575e-117	0.0869891367039744	0.022	0	1.95363949491517e-112	"CD8+ Cytotoxic"	"IFNL1"
"GIMAP2"	8.55251562893856e-116	0.726529654682626	0.25	0.073	1.87505352648849e-111	"CD8+ Cytotoxic"	"GIMAP2"
"PAXX"	2.37442129593232e-114	0.957963929485603	0.615	0.382	5.20568124920202e-110	"CD8+ Cytotoxic"	"PAXX"
"SLA"	2.4011526828524e-114	0.754814933754944	0.287	0.092	5.2642871418856e-110	"CD8+ Cytotoxic"	"SLA"
"TRAV5"	1.02705634177132e-112	0.37435546036147	0.047	0.003	2.25171832369943e-108	"CD8+ Cytotoxic"	"TRAV5"
"GPR68"	1.906639698106e-111	0.257101664100634	0.071	0.007	4.18011687412759e-107	"CD8+ Cytotoxic"	"GPR68"
"TSPOAP1"	1.90759307647288e-111	0.423005614911417	0.117	0.019	4.18220706085915e-107	"CD8+ Cytotoxic"	"TSPOAP1"
"GPR15"	2.32629150676739e-111	0.108816666585547	0.026	0.001	5.10016149943683e-107	"CD8+ Cytotoxic"	"GPR15"
"RUNX3"	3.91047610170642e-111	0.973365387480181	0.42	0.187	8.57332780538117e-107	"CD8+ Cytotoxic"	"RUNX3"
"PDCD4"	1.85761878613606e-110	0.942685713626929	0.549	0.303	4.07264342672469e-106	"CD8+ Cytotoxic"	"PDCD4"
"MIAT"	7.22348332403509e-110	0.560843721282908	0.153	0.032	1.58367648396145e-105	"CD8+ Cytotoxic"	"MIAT"
"IQGAP2"	1.06345569376764e-109	0.506603172319686	0.183	0.043	2.33152026301616e-105	"CD8+ Cytotoxic"	"IQGAP2"
"KLRF1"	1.66712618060344e-108	0.186244886061493	0.032	0.001	3.65500743835497e-104	"CD8+ Cytotoxic"	"KLRF1"
"AP005482.1"	1.66060622671882e-107	0.190552633829369	0.048	0.003	3.64071309145834e-103	"CD8+ Cytotoxic"	"AP005482.1"
